"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",4.76270106520592e-82,0.499109701721716,0.412,0.1,1.42881031956178e-78,"Normal-Macrophage","TAGLN"
"2",6.26310729019409e-08,0.969027896787124,0.493,0.389,0.000187893218705823,"Normal-Macrophage","FAM13A"
"3",0.00104707819932393,0.648253005186057,0.389,0.312,1,"Normal-Macrophage","ACYP2"
"4",1.95636674855833e-55,1.07377472980246,0.197,0.259,5.86910024567499e-52,"Chemo-Macrophage","FABP3"
"5",4.64229583760425e-13,0.407996393603783,0.392,0.322,1.39268875128127e-09,"Chemo-Macrophage","ACER3"
"6",2.02322061156822e-11,0.496591103700085,0.393,0.297,6.06966183470465e-08,"Chemo-Macrophage","TYROBP"
"7",6.04243250802814e-05,0.976612257892116,0.324,0.243,0.181272975240844,"Chemo-Macrophage","LY96"
"8",0.00345087422456064,0.588626208244995,0.31,0.402,1,"Chemo-Macrophage","DMXL2"
"9",1.5107023239892e-221,28.5518076091843,0.103,0.115,4.53210697196761e-218,"Donor-Macrophages","CDK11B"
"10",7.40661198517072e-173,32.4935945491296,0.075,0.127,2.22198359555122e-169,"Donor-Macrophages","ATP11AUN"
"11",9.58105239686513e-129,28.0577757933493,0.127,0.124,2.87431571905954e-125,"Donor-Macrophages","HSPD1"
"12",4.83815927439906e-63,30.9601076666892,0.126,0.033,1.45144778231972e-59,"Donor-Macrophages","S100A8"
"13",5.56488029352052e-45,28.9323770109739,0.111,0.046,1.66946408805616e-41,"Donor-Macrophages","S100A9"
"14",1.09485148417549e-274,28.294509690778,0.168,0.094,3.28455445252646e-271,"DCM-Macrophages","NPPA"
"15",2.23256951079565e-132,23.8322753197639,0.166,0.169,6.69770853238694e-129,"DCM-Macrophages","JUNB"
"16",5.66913337446353e-98,24.7889044082081,0.074,0.114,1.70074001233906e-94,"DCM-Macrophages","CCDC125"
"17",8.02177528788677e-54,25.6242405732595,0.325,0.311,2.40653258636603e-50,"DCM-Macrophages","SPATS2L"
"18",2.89765340466871e-38,23.7754382047689,0.193,0.24,8.69296021400613e-35,"DCM-Macrophages","ERO1B"
